X (nm),Y (nm),LEV (ft) [COORDINATES IN RELATION TO VOR/DME VILNIUS AIRPORT]
-8.294117647,10.62745098,5000
-5.098039216,11.39215686,4200
-1.725490196,12.17647059,4200
-1.352941176,12.23529412,4200
-1.058823529,12.25490196,4200
-0.784313725,12.25490196,4200
-0.392156863,12.21568627,4200
-0.215686275,12.17647059,4200
0.039215686,12.09803922,4200
0.411764706,11.98039216,4200
2.254901961,11.25490196,4200
2.450980392,11.15686275,4200
2.607843137,11.03921569,4200
2.823529412,10.88235294,4200
3.019607843,10.64705882,4200
3.254901961,10.29411765,4200
3.31372549,10.1372549,4200
3.411764706,9.764705882,4200
3.450980392,9.470588235,4200
3.392156863,9.058823529,4200
2.411764706,6.568627451,2700
0.392156863,1.37254902,300
